,acidovorax_3H11,azobra,Burk376,Caulo,Cup4G11,PS,Dino,Dyella79,Cola,Keio,HerbieS,Kang,Marino,Pedo557,Phaeo,pseudo1_N1B4,pseudo5_N2C3_1,pseudo6_N2E2,pseudo3_N2E3,pseudo13_GW456_L13,WCS417,psRCH2,SB2B,PV4,MR1,ANA3,Smeli,Korea
Trisodium citrate dihydrate,No Growth,No Growth,Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Citric Acid,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Sodium D-Lactate,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth
Sodium L-Lactate,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth
"Sodium D,L-Lactate",Growth,Growth,Growth,No Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth
Sodium pyruvate,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,No Growth
Sodium succinate dibasic hexahydrate,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,No Growth
Sodium propionate,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth
Sodium Formate,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Xylitol,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Glycolic Acid,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
D-Mannitol,Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,No Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth
4-Hydroxybenzoic Acid,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
m-Inositol,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth
D-Galacturonic Acid monohydrate,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Potassium oxalate monohydrate,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Ethanol,No Growth,Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,No Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Glycerol,Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth
D-Sorbitol,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth
"D,L-Malic Acid",No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Tween 20,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth
L-Malic acid disodium salt monohydrate,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,No Growth
D-Trehalose dihydrate,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth
L-Arginine,No Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth
L-Histidine,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,No Growth
L-Lysine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth
L-Aspartic Acid,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
L-Glutamic acid monopotassium salt monohydrate,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth
L-Serine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,No Growth,Growth,Growth,No Growth
L-Threonine,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth
L-Asparagine,Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth
L-Glutamine,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
L-Cysteine hydrochloride monohydrate,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Glycine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
L-Proline,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth
L-Alanine,No Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,No Growth
L-Valine,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
L-Isoleucine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth
L-Leucine,Growth,Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth
L-Methionine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
L-Phenylalanine,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
L-tyrosine disodium salt,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
L-Tryptophan,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
D-Serine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
D-Alanine,No Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Gly-DL-Asp,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth
Gly-Glu,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,No Growth
L-Citrulline,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Carnitine Hydrochloride,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Gelatin,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth
casamino acids,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Putrescine Dihydrochloride,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,Growth,No Growth,No Growth
N-Acetyl-D-Glucosamine,No Growth,No Growth,Growth,Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,Growth,No Growth,Growth,Growth,No Growth,Growth,No Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth
D-Glucosamine Hydrochloride,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,Growth,No Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth
Parabanic Acid,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Adenosine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth
Adenine hydrochloride hydrate,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Uridine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,No Growth,Growth,No Growth,Growth,No Growth,Growth,Growth,Growth,No Growth
Thymidine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,Growth,No Growth,No Growth
Inosine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,No Growth
Cytidine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,No Growth,Growth,No Growth,Growth,No Growth,Growth,Growth,No Growth,No Growth
Thymine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Cytosine,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Glucuronamide,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
D-Salicin,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth
Beta-Lactose,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth
D-Mannose,Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,No Growth,Growth,No Growth
Sodium octanoate,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth
Sodium butyrate,No Growth,Growth,Growth,No Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth
D-Tagatose,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth,No Growth
