Carbon_Source,Suitable,Category,Recommendation,Reasoning,Suggested_Alternative
(+)-Arabinogalactan,False,polymer,use_monomer,"(+)-Arabinogalactan is a polysaccharide, so it should be represented by its monomer units for metabolic modeling.","Arabinose, Galactose"
"1,2-Propanediol",True,simple_metabolite,use,"1,2-Propanediol is a defined chemical compound that can be metabolized by certain bacteria and can be represented as a single metabolite in metabolic models.",
"1,3-Butandiol",True,simple_metabolite,use,"1,3-Butanediol is a defined chemical compound that can be metabolized by certain bacteria and can be represented as a single metabolite in metabolic models.",
"1,4-B-D-Galactobiose",False,polymer,use_monomer,"1,4-B-D-Galactobiose is a disaccharide and can be broken down into monomers for modeling.",D-Galactose
"1,4-Butanediol",True,simple_metabolite,use,"1,4-Butanediol is a defined chemical compound that can be metabolized by certain bacteria and can be represented in metabolic models.",
"1,5-Pentanediol",True,simple_metabolite,use,"1,5-Pentanediol is a defined chemical compound and can be represented as a single metabolite in metabolic models.",
1-Pentanol,True,simple_metabolite,use,1-Pentanol is a defined chemical compound that can be represented as a single metabolite and is metabolizable by some bacteria.,
2'-Deoxycytidine,False,simple_metabolite,exclude,"2'-Deoxycytidine is a nucleoside, not a typical carbon source for bacterial metabolism.",D-Glucose
2'-Deoxyinosine,False,simple_metabolite,exclude,2'-Deoxyinosine is not a typical carbon source for bacterial metabolism.,D-Glucose
2-Deoxy-D-Ribose,True,simple_metabolite,use,2-Deoxy-D-Ribose is a defined chemical compound and can be represented as a single metabolite in metabolic models.,
2-Deoxy-D-ribonic acid lithium salt,False,simple_metabolite,manual_review,2-Deoxy-D-ribonic acid is a defined compound but not a typical carbon source for bacteria.,D-Glucose
2-Deoxyadenosine 5-monophosphate,False,simple_metabolite,exclude,"2-Deoxyadenosine 5-monophosphate is a nucleotide, not a typical carbon source for bacteria.",D-Glucose
2-Deoxyadenosine monohydrate,False,simple_metabolite,exclude,"2-Deoxyadenosine monohydrate is a nucleoside, not a typical carbon source for bacterial metabolism.",D-Glucose
2-Piperidinone,False,simple_metabolite,exclude,2-Piperidinone is a defined chemical compound but not a typical carbon source for bacterial metabolism.,Glucose
2-methyl-1-butanol,True,simple_metabolite,use,2-methyl-1-butanol is a defined chemical compound and can be represented as a single metabolite in metabolic models.,
