Carbon Source,Current (Wrong),Manual Review
"1,4-Butanediol",cpd00751,cpd23934
"1,5-Pentanediol",cpd19020,UNMAPPED
3-methyl-2-oxopentanoic acid,cpd11493,cpd00508
4-Hydroxyvalerate,cpd00731,cpd31889
4-Methyl-2-oxovaleric acid,cpd11493,cpd00200
5-Keto-D-Gluconic Acid,cpd00751,cpd00781
Azelaic acid,cpd00795,cpd05177
D-Glucosamine Hydrochloride,cpd00122,cpd00276
D-Maltose monohydrate,cpd00108,cpd00179 
D-Raffinose pentahydrate,cpd00795,cpd00382
Lactitol,cpd19020,cpd37280
Sodium adipate,cpd00751,cpd03642
Suberic acid,cpd00731,cpd05193
palatinose hydrate,cpd19020,cpd01200
Sodium octanoate,cpd00211 ,cpd03846
D-(-)-tagatose,cpd00751,cpd00589
